"rules","support","confidence","coverage","lift","count"
"{Sexo=Mujer,Edad=[26,34),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=25 a 29}",0.0665318211370368,0.615778916870961,0.108044980615955,2.02523819107738,2763
"{Edad=[26,34),Pueblo_Pertenencia=Ignorado} => {Grupos_Quinquenales=25 a 29}",0.0979315658937128,0.615745647236942,0.159045486286691,2.02512877042076,4067
"{Nivel_Educativo=Licenciatura,Sexo=Hombre,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.0647258542223507,0.77463976945245,0.0835560692528113,2.02378050991386,2688
"{Edad=[26,34),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=25 a 29}",0.10790050326278,0.61526843333791,0.175371427195454,2.02355925937199,4481
"{Sexo=Mujer,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.144429194057165,0.770753019789257,0.187387127067832,2.01362620526095,5998
"{Departamento=Guatemala,Grupos_Quinquenales=25 a 29,Sector=Privado} => {Edad=[26,34)}",0.0749837462977678,0.769268774703557,0.0974740542753257,2.00974854961399,3114
"{Sexo=Hombre,Edad=[26,34),Sector=Privado} => {Grupos_Quinquenales=25 a 29}",0.0665559006958993,0.610019863164864,0.109104481205904,2.00629721211481,2764
"{Departamento=Guatemala,Edad=[26,34),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=25 a 29}",0.05579233788437,0.608615707906488,0.0916708805894676,2.00167907924674,2317
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.159527077463941,0.766073080481036,0.208240025042741,2.00139965773131,6625
"{Departamento=Guatemala,Sexo=Mujer,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.0647980928989381,0.607860853851367,0.106600207084206,1.99919643617592,2691
"{Grupos_Quinquenales=25 a 29,Sector=Privado} => {Edad=[26,34)}",0.17048327674637,0.763836444060848,0.223193431096342,1.99555634659052,7080
"{Departamento=Guatemala,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.109248958559079,0.604610874200426,0.180693009704062,1.98850756273616,4537
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.0948012232415902,0.760332174584782,0.12468395578993,1.98640128826946,3937
"{Sexo=Hombre,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.0917190397071926,0.603358149849517,0.152014255098847,1.98438747169562,3809
"{Sexo=Mujer,Grupos_Quinquenales=25 a 29,Sector=Privado} => {Edad=[26,34)}",0.103927376050471,0.755866900175131,0.13749428110477,1.97473556224038,4316
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.0749115076211804,0.75235792019347,0.0995689758963616,1.96556819751602,3111
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=25 a 29,Sector=Privado} => {Edad=[26,34)}",0.116954417395073,0.747230769230769,0.156517132606131,1.95217328984553,4857
"{Grupos_Quinquenales=25 a 29,Pueblo_Pertenencia=Ladino} => {Edad=[26,34)}",0.10790050326278,0.744599534729146,0.144910785234415,1.94529907384038,4481
"{Departamento=Guatemala,Grupos_Quinquenales=25 a 29,Pueblo_Pertenencia=Ladino} => {Edad=[26,34)}",0.05579233788437,0.741914825488313,0.0752004623275302,1.93828515272422,2317
"{Sexo=Mujer,Grupos_Quinquenales=25 a 29,Pueblo_Pertenencia=Ladino} => {Edad=[26,34)}",0.0665318211370368,0.741346927823987,0.0897445158804691,1.93680149506809,2763
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Grupos_Quinquenales=25 a 29,Sector=Privado} => {Edad=[26,34)}",0.0703604709961713,0.73955960516325,0.0951383370656649,1.93213203590995,2922
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=25 a 29,Pueblo_Pertenencia=Ladino} => {Edad=[26,34)}",0.0673505261383611,0.716261203585147,0.0940306773579908,1.87126393581326,2797
"{Grupos_Quinquenales=25 a 29,Sector=Privado,Pueblo_Pertenencia=Ladino} => {Edad=[26,34)}",0.0587300440655927,0.695664575014261,0.0844229333718606,1.81745433667383,2439
"{Nivel_Educativo=Licenciatura,Edad=[34,124],Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.090442823087481,0.772045220966084,0.117147053865973,1.76398910549629,3756
"{Departamento=Guatemala,Sexo=Mujer,Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.0587059645067302,0.777423469387755,0.0755134965927424,1.73457364531264,2438
"{Departamento=Guatemala,Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.095740326037227,0.773691379645845,0.123744852994293,1.72624667196649,3976
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.0612824773050158,0.765413533834586,0.0800645332177514,1.70777728719801,2545
